City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,tura,25.5198,90.2201,24.55,97,33,2.75,IN,1717958998
159,khovd,48.0056,91.6419,17.75,48,16,0.62,MN,1717958998
160,chonchi,-42.6128,-73.8092,11.56,80,28,2.55,CL,1717958875
161,ghanzi,-21.5667,21.7833,12.82,56,0,4.5,BW,1717958998
162,sur,22.5667,59.5289,32.65,49,0,4.51,OM,1717958999
163,ancud,-41.8697,-73.8203,11.03,83,12,5.62,CL,1717958882
164,severo-yeniseyskiy,60.3725,93.0408,8.1,98,75,1.34,RU,1717958999
165,port macquarie,-31.4333,152.9167,6.05,81,2,2.29,AU,1717958831
166,tazovsky,67.4667,78.7,0.93,87,100,2.6,RU,1717958999
167,awjilah,29.1081,21.2869,31.28,17,0,3.42,LY,1717958999
168,nchelenge,-9.3451,28.734,20.7,52,0,3.76,ZM,1717958999
169,taoudenni,22.6783,-3.9836,41.93,9,7,4.82,ML,1717958999
170,fale old settlement,-9.3852,-171.2468,28.64,72,39,3.37,TK,1717958999
171,santa isabel,-23.3156,-46.2214,28.61,53,100,1.27,BR,1717958999
172,stony plain,53.5334,-114.0021,12.06,62,100,3.09,CA,1717959000
173,whitehorse,60.7161,-135.0538,20.45,26,75,4.12,CA,1717959000
174,fernley,39.608,-119.2518,31.13,14,91,2.24,US,1717959000
175,pudozh,61.8099,36.5345,13.3,68,95,1.79,RU,1717959000
176,bilibino,68.0546,166.4372,7.89,56,12,1.55,RU,1717958757
177,zabol,32.25,67.25,20.91,11,21,1.82,AF,1717959000
178,lewistown,40.5992,-77.5714,24.55,71,75,4.63,US,1717959000
179,theniet el had,35.8711,2.0281,17.55,41,100,3.48,DZ,1717959000
180,talcahuano,-36.7167,-73.1167,13.82,88,75,10.29,CL,1717959000
181,port lincoln,-34.7333,135.8667,15.07,55,100,3.98,AU,1717959000
182,la passe,45.5549,-0.8967,23.13,79,0,6.5,FR,1717959000
183,xinghua,32.9392,119.8342,25.24,61,100,3.93,CN,1717959001
184,bereket,39.2446,55.5154,32.48,20,11,1.24,TM,1717959001
185,dwarka,22.2394,68.9678,29.17,80,13,5.71,IN,1717959001
186,tulum,20.2167,-87.4667,33.94,51,97,3.23,MX,1717959001
187,dingcheng,32.1272,115.0394,23.24,84,100,2.59,CN,1717959001
188,abalak,58.1286,68.5944,12.97,86,67,1.76,RU,1717959001
189,hamilton,39.1834,-84.5333,26.22,45,0,4.63,US,1717959001
190,abepura,-2.6333,140.5833,24.45,100,40,0.51,ID,1717959001
191,sarangani,5.4033,125.4636,28.24,76,99,2.14,PH,1717959002
192,vila velha,-20.3297,-40.2925,28.31,99,20,4.12,BR,1717958730
193,nemuro,43.3236,145.575,9.98,94,100,6.34,JP,1717959002
194,la sarre,48.8002,-79.1996,10.81,87,100,5.23,CA,1717958822
195,kodinsk,58.6881,99.1844,11.91,99,100,0.87,RU,1717959002
196,wenchang,30.904,118.4887,22.41,97,100,1.41,CN,1717959003
197,margate,51.3813,1.3862,16.06,62,87,2.24,GB,1717959003
198,gamay,12.3854,125.2979,25.49,93,100,0.41,PH,1717959003
199,sinop,41.7711,34.8709,16.29,78,36,1.78,TR,1717959003
200,longyearbyen,78.2186,15.6401,2.91,65,75,5.14,SJ,1717959003
201,swift current,50.2834,-107.8014,14.45,47,20,4.12,CA,1717958707
202,lospalos,-8.5186,127.0025,18.53,88,31,2.02,TL,1717959003
203,kabompo,-13.5927,24.2008,17.02,42,1,2.8,ZM,1717959003
204,maddela,16.3414,121.6849,24.08,99,100,0.47,PH,1717959004
205,juba,4.8517,31.5825,23.47,79,70,1.51,SS,1717959004
206,qaqortoq,60.7167,-46.0333,6.5,95,100,0.53,GL,1717959004
207,shuangjiang,26.1547,109.7138,19.39,99,100,0.88,CN,1717959004
208,codrington,-38.2667,141.9667,5.5,92,55,3.2,AU,1717959004
209,hotan,37.0997,79.9269,21.56,36,66,0.92,CN,1717959004
210,hudson,40.7168,-74.0663,25.75,49,40,9.26,US,1717958822
211,elliot lake,46.3834,-82.6331,17.46,50,84,5.01,CA,1717958655
212,zhenzhou,32.2692,119.1789,25.5,68,100,3.43,CN,1717959005
213,nuku'alofa,-21.1333,-175.2,22.19,73,75,4.12,TO,1717959005
214,enewetak,11.3474,162.3373,28.25,82,100,7.27,MH,1717959005
215,teruel,40.6667,-0.6667,14.43,73,30,4.48,ES,1717959005
216,aras-asan,8.8908,126.3033,25.94,86,100,2.05,PH,1717959005
217,golyshmanovo,56.3979,68.3728,15.03,79,100,6.04,RU,1717959005
218,pitea,65.3172,21.4794,12.05,95,100,3.56,SE,1717959005
219,talnakh,69.4865,88.3972,3.45,99,100,1.87,RU,1717959005
220,grand falls-windsor,48.9332,-55.6649,12.67,94,100,2.22,CA,1717959005
221,al artawiyah,26.5053,45.3444,34.48,10,78,4.23,SA,1717959005
222,colonia,50.9333,6.95,17.36,59,4,3.95,DE,1717959005
223,sitka,57.0531,-135.33,10.94,76,100,4.12,US,1717959006
224,ormara,25.2088,64.6357,28.44,88,0,5.95,PK,1717959006
225,les anglais,18.3054,-74.2197,29.9,63,100,4.78,HT,1717959006
226,ciudad guayana,8.3533,-62.6528,34.99,41,65,3.31,VE,1717959006
